Gene	BH1	BH2	BH3	BPH1	BPH2	BPH3	BPH4	BPH5	BPH6	HH1	HH2	HH3	HPH1	HPH2	HPH3	HPH4	HPH5	HPH6	SMH1	SMH2	SMH3	SMPH1	SMPH2	SMPH3	SMPH4	SMPH5	SMPH6
CCDC86	19.46471485	22.47422778	18.43992219	10.54473578	13.9564078	14.25405722	12.33136447	10.25186502	10.06101923	26.08984049	31.88844144	36.89050794	12.11242398	26.36410057	19.09605239	20.9183622	18.83535314	26.23514629	24.01460139	19.13539267	20.18884951	7.264775646	30.29013176	20.37753743	18.3161921	9.67282579	28.75656608
PRPF19	94.49805112	73.66352026	71.5310822	80.74834205	89.38668714	81.6709738	81.89196942	81.90738315	96.13862824	79.47135674	78.11124453	64.97648132	60.70574546	81.76407344	69.63397708	67.65332569	65.923736	75.43652287	26.33236453	20.20931776	24.01044817	28.58531287	49.73615175	46.98820396	43.31580735	48.53624329	49.86788197
TMEM109	1.844438705	2.272674719	0.647014814	7.381315045	6.173658039	4.910488613	7.537866711	6.59560547	7.757486211	3.204894033	7.453868055	2.902053291	30.01774638	23.45658426	27.66707125	34.40292627	28.42743113	25.48078106	1.867086972	4.718761797	1.968702342	5.843406498	5.299753875	8.510618575	9.9348182	9.569557187	7.558372354
TMEM132A	51.565797	81.49162207	75.88045956	47.6135377	48.89668521	80.95486088	58.94904501	59.43214059	71.17239533	23.1353288	9.879683102	11.41146379	9.000536394	4.754182069	3.863619902	4.264349319	13.31264157	10.980205	1.352028497	3.742466253	1.042254181	0.43430724	1.263787463	0.958942938	0.541899175	1.204800365	1.737556863
VPS37C	32.57200267	33.51293356	33.50098925	31.79643404	31.55790093	35.87384737	35.85975426	37.81719441	39.22781237	63.3968101	54.16183415	50.12190345	47.82731839	41.45175275	57.73225141	47.42647959	42.55394599	52.09310996	54.78934527	71.00922925	72.30155857	29.45392735	41.50114958	48.86613388	31.64691179	26.40233943	31.18914569
DDB1	185.4249549	237.4403969	194.1403894	196.5782089	192.1715258	215.1407823	175.2736968	200.018905	183.0631244	230.9526763	327.3086085	251.2981401	217.6885052	188.9492692	248.8260036	168.2689191	180.7380029	195.7577768	268.5064212	281.1731167	318.0805353	195.95153	259.2802665	303.6652637	189.3756982	173.8354813	172.6262743
DAK	6.514400534	8.044547022	5.787188057	10.95030254	11.9532528	17.45951507	11.70930751	13.8722789	12.39842774	1.652523486	2.072969222	1.229683598	3.447013938	4.754182069	8.393381166	6.108392268	1.511478956	3.185097632	1.319837342	0.520690957	1.080856188	1.144991814	1.834530188	1.997797788	1.589570912	1.789989114	1.447964052
CYBASC3	7.730945212	3.24667817	4.529103697	29.89027026	26.50075552	25.23445537	39.4091381	43.40912078	32.24946233	6.059252782	6.218907667	4.131736889	40.98116571	31.90409785	31.84155712	37.91813314	34.00827651	29.71360817	4.023894335	5.304539123	4.207618731	11.80526042	13.94242943	18.65943134	18.24393888	21.96178952	12.16289804
TMEM138	59.92463623	56.81686798	57.87188057	26.97018959	29.55474593	24.24553753	29.96850892	32.97802735	31.09769582	25.63915227	39.07767513	16.47776021	28.3421146	18.93814676	21.36093302	32.96226771	19.24228979	14.45866688	10.10802257	26.03454784	12.0824281	2.961185725	5.014382513	5.394054026	5.74413125	5.094584402	2.693213138
CPSF7	267.5613424	345.5547799	240.7614013	111.7741992	116.5442148	108.1330513	105.9326414	99.25669319	96.0031263	295.9018569	341.4665472	269.6942067	96.2291391	84.12151909	92.50483052	78.48707801	61.50556675	61.77413039	150.5580304	187.2209422	159.3490837	19.8596856	29.23018099	30.2466585	30.09346749	28.08905994	27.33756131
